seed,steps,solver_rtol,base_finite_exponent,transport_finite_exponent,endpoint_transport_norm,product_telescope_defect,determinant_defect
0.123456789,256,2e-13,0.6945693026756833,0.00011313042635169189,1.0293848482797658,3.3263294380600173e-16,2.220446049250313e-16
0.123456789,1024,2e-13,0.6926693175237997,0.00010903028432056914,1.1181181077460247,1.821377042022605e-15,2.220446049250313e-16
0.123456789,4096,2e-13,0.6931229000652553,2.546643501206869e-05,1.1099450591182913,1.227559953915474e-14,0.0
0.123456789,8192,2e-13,0.6931580923331889,1.1856389192263574e-05,1.1020009141449743,1.8879688557162013e-14,0.0
0.41421356237309515,256,2e-13,0.6907310605278976,0.00027024993313984433,1.0716333532069233,5.4358472869475775e-15,4.440892098500626e-16
0.41421356237309515,1024,2e-13,0.6931068988560249,3.297057789950607e-05,1.0343382722567553,4.9347294265571875e-15,0.0
0.41421356237309515,4096,2e-13,0.6931490208789733,8.314414178698578e-07,1.0034113896375516,3.5820034145644474e-15,1.1102230246251565e-16
0.41421356237309515,8192,2e-13,0.6931378395588093,4.809150763581269e-06,1.0401828999790559,1.8407790912125474e-14,0.0
0.3141592653589793,256,2e-13,0.6874827647920884,0.0001580329017519658,1.0412859324389894,2.2011528793241787e-15,1.1102230246251565e-16
0.3141592653589793,1024,2e-13,0.6916407876245262,3.9773868861169556e-05,1.041569220384906,2.8158580557811836e-15,2.220446049250313e-16
0.3141592653589793,4096,2e-13,0.6929210863959632,2.146067329821583e-05,1.091882114596941,1.440817167188526e-14,0.0
0.3141592653589793,8192,2e-13,0.6931326445469782,7.74671161756236e-06,1.06551799539695,1.568820690048239e-14,2.220446049250313e-16
