# Matrix of U_11 (11 divides the level, so U_p, NOT T_p) on the S_4(Gamma_0(143)) basis, 40 x 40.
# SCALED BY 1041 to clear denominators; divide by it to recover the operator.
# SCALE 1041
#
row,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40
F1,-11451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F2,0,-11451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F3,0,0,-11451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F4,0,0,0,-11451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F5,0,0,0,0,35394,1041,99936,0,-49968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F6,0,0,0,0,-1385571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F7,0,0,0,0,12492,0,10410,1041,-62460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F8,0,0,0,0,0,0,-1385571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F9,0,0,0,0,0,0,-12492,0,10410,1041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F10,0,0,0,0,0,0,0,0,-1385571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F11,0,0,0,0,0,0,0,0,0,0,0,0,-651302,-1428428,-1505105,2596008,-72973,-1161300,752124,824108,125961,2049294,-852540,-948430,-4777853,1971921,7353618,6639204,-9510801,775174,3377104,0,-1241974,-2025708,-9028940,4726160,6375519,23139367,395195,-11702472
F12,0,0,0,0,0,0,0,0,0,0,0,0,-138098,-239819,-294824,477642,-37402,-209700,117450,152672,0,380985,-165072,-139225,-978014,476475,1231194,1349610,-1763070,274282,622810,125961,-146626,-330144,-1766924,918845,1117014,4573918,-259084,-2082768
F13,0,0,0,0,0,0,0,0,0,0,0,0,-4824,-22560,-44748,54681,19920,-19908,19782,2742,0,51180,-10332,-9180,-99609,-2589,108252,221145,-191994,-130173,21714,0,-52866,-20664,-160314,79503,133077,437952,68283,-136512
F14,0,0,0,0,0,0,0,0,0,0,0,0,77460,146106,188364,-301686,9666,127284,-79752,-87870,0,-240288,100056,89016,574014,-246456,-740730,-845556,1080186,-56448,-374826,0,118860,188661,1061820,-531756,-756990,-2858661,45954,1237452
F15,0,0,0,0,0,0,0,0,0,0,0,0,-11995,-10330,-15508,22446,-5726,-6264,5157,6790,0,16002,-8535,-6494,-47566,62244,54324,73950,-111474,29222,24560,0,-37259,5832,-106876,59044,42294,318632,-8153,-85188
F16,0,0,0,0,0,0,0,0,0,0,0,0,62290,114535,141154,-228642,10052,97458,-61434,-73741,0,-184071,77685,73313,447730,-206706,-603720,-652890,855870,-63608,-272354,0,65846,178272,812674,-412783,-544629,-2149508,43061,902211
F17,0,0,0,0,0,0,0,0,0,0,0,0,-25904,-48608,-61682,104676,-7816,-50274,24168,32150,0,79449,-33708,-34405,-196514,74403,265596,278610,-375198,76210,126040,0,-34828,-67416,-374066,193850,249507,994576,-39706,-395745
F18,0,0,0,0,0,0,0,0,0,0,0,0,-3486,-3039,-12744,14928,546,-3246,4530,5568,0,11493,-2976,-8172,-26730,1647,8946,69840,-52818,-28758,7050,0,17040,16950,-52050,26394,8286,166338,-28704,-40104
F19,0,0,0,0,0,0,0,0,0,0,0,0,-26325,-49434,-59898,98766,-3816,-39522,31326,31530,0,72096,-30816,-35592,-186285,87876,262989,263295,-348561,11997,106683,0,-42768,-84534,-352899,177903,244368,893700,19776,-385518
F20,0,0,0,0,0,0,0,0,0,0,0,0,-20522,-37826,-46142,76947,-4357,-31932,23112,24686,0,61938,-24729,-22858,-146099,56118,201114,195147,-292791,29605,103873,0,-30748,-60909,-251228,142988,206640,707764,-26140,-305514
F21,0,0,0,0,0,0,0,0,0,0,1041,0,83443,148441,195586,-319680,19118,136518,-94686,-100099,0,-245193,105270,102077,616666,-265773,-765315,-879096,1175826,-131192,-371066,0,103658,187638,1093744,-567439,-793725,-2975996,27314,1257495
F22,0,0,0,0,0,0,0,0,0,0,0,0,7160,17930,17345,-32454,-47,13923,-12840,-9242,0,-21918,10731,14164,49859,-11976,-92298,-82737,118824,-10741,-40897,0,26644,32913,109652,-53567,-84264,-275068,-10616,147522
F23,0,0,0,0,0,0,0,0,0,0,0,0,-21022,-27220,-50200,86448,-8288,-31872,30906,31432,0,66894,-26121,-19718,-152602,81822,161610,255048,-288684,77360,115118,0,9706,-29340,-227632,144196,249570,817592,13066,-270006
F24,0,0,0,0,0,0,0,0,0,0,0,0,4862,4490,11861,-17265,2119,5496,-4776,-2780,0,-11982,5949,7942,39821,-15246,-30864,-57018,60570,-10681,-21715,0,2680,447,53438,-27245,-40068,-169801,18280,45420
F25,0,0,0,0,0,0,0,0,0,0,0,0,29242,52771,68278,-110604,6248,47958,-32079,-34447,0,-90033,37263,41591,209002,-95949,-275592,-302046,406338,-39854,-131552,0,40772,74526,378577,-199741,-264948,-1037180,10751,437565
F26,0,0,0,0,0,0,0,0,0,0,0,0,4976,8576,10013,-16404,571,5982,-3480,-7058,0,-10980,6333,6310,31181,-17742,-44376,-39333,61878,-10597,-22759,0,-56,12666,59684,-30785,-30660,-159631,10432,74034
F27,0,0,0,0,0,0,0,0,0,0,0,0,14176,26206,33463,-55476,3779,23616,-14058,-16258,0,-43458,18621,15158,103783,-45564,-133230,-151104,197424,-20054,-71435,0,21350,37242,192238,-98608,-131430,-514658,11912,223506
F28,0,0,0,0,0,0,0,0,0,0,0,0,-11011,-17578,-24994,39192,-2870,-15876,10755,11011,0,30075,-12891,-14006,-76558,40590,91269,115596,-149604,18770,45902,0,-11948,-25782,-139147,72265,99009,383294,-15680,-153627
F29,0,0,0,0,0,0,0,0,0,0,0,0,-7553,-10922,-16508,25404,-1246,-9462,8427,6512,0,20217,-7836,-9031,-49934,26991,51654,70122,-89802,11602,23950,0,-5761,-15672,-86750,44348,58899,243460,-15694,-85851
F30,0,0,0,0,0,0,0,0,0,0,0,0,-9190,-16468,-22078,35988,-860,-16386,9048,10231,0,27507,-11469,-12242,-67954,28224,87687,100392,-128820,12770,43142,0,-7766,-22938,-123532,64426,87003,335300,-8177,-143145
F31,0,0,0,0,0,0,0,0,0,0,0,0,-5573,-8825,-13430,22716,-2710,-10116,6336,7655,0,17622,-7029,-9598,-43628,16020,44403,63558,-82206,11746,31678,0,-3313,-14058,-79463,39023,60453,216280,-5056,-77100
F32,0,0,0,0,0,0,0,0,0,0,0,1041,29662,50566,66565,-107925,5969,45201,-30756,-33826,0,-87492,36267,37496,205387,-96762,-257982,-303186,397350,-45407,-123509,0,34856,73575,375454,-195634,-264366,-1013135,21998,423270
F33,0,0,0,0,0,0,0,0,0,0,0,0,3913,6436,8452,-15657,1235,6984,-4278,-4954,0,-10662,5364,6698,29908,-15087,-31815,-40116,56658,-7892,-17663,0,5330,10728,47539,-27892,-40347,-143714,8093,53244
F34,0,0,0,0,0,0,0,0,0,0,0,0,-4509,-10941,-9858,18954,192,-7662,4899,5550,0,15870,-5874,-8868,-33354,13197,56397,43320,-68610,2814,23322,0,-10458,-11748,-67665,33396,50754,160602,4629,-87636
F35,0,0,0,0,0,0,0,0,0,0,0,0,-2099,-2600,-5039,7533,-1285,-2538,1560,3140,0,5640,-2121,-2350,-16646,8061,13539,22155,-27882,5923,4411,0,-4450,-4242,-21167,12125,18303,77362,-3085,-25434
F36,0,0,0,0,0,0,0,0,0,0,0,0,-25580,-43022,-59702,98028,-3778,-38154,28728,31826,0,80160,-31740,-29236,-186662,87636,224454,275946,-357564,34480,104554,0,-34276,-63480,-347000,173105,221730,910066,-33082,-373758
F37,0,0,0,0,0,0,0,0,0,0,0,0,2098,2692,5110,-8682,842,3246,-2448,-2098,0,-6288,2976,3314,18055,-5811,-15192,-22995,30957,-4901,-9479,0,1004,5952,27760,-15637,-21819,-85487,-2179,29694
