# Matrix of U_13 (13 divides the level, so U_p, NOT T_p) on the S_4(Gamma_0(143)) basis, 40 x 40.
# SCALED BY 1041 to clear denominators; divide by it to recover the operator.
# SCALE 1041
#
row,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40
F27,0,0,0,0,0,0,0,0,0,0,0,0,17089,0,29837,2918,65920,23796,-37089,40424,18621,-57336,0,-141868,-2585,-68514,-13754,-236046,-118682,59930,-235250,-98608,312353,-21686,281684,0,-213478,23258,-54728,116600
F28,0,0,0,0,0,0,0,0,0,0,0,0,-12955,1041,-22403,-2096,-48970,-17184,27585,-30074,-12891,39522,0,102775,-1573,60579,56,173616,86438,-35516,160244,72265,-228341,17582,-199175,0,143587,8332,38522,-86438
F29,0,0,0,0,0,0,0,0,0,0,0,0,-8138,1041,-15505,-2083,-31010,-12381,15429,-18358,-7836,27807,0,65414,-2120,41580,4,116055,53614,-19639,97849,44348,-142048,18358,-124201,0,83498,10559,9295,-47368
F30,0,0,0,0,0,0,0,0,0,0,0,0,-10984,0,-18632,-1553,-42469,-17079,23442,-25091,-11469,35862,0,90442,1364,48396,4130,154989,79355,-40748,150467,64426,-204188,17804,-183602,0,134518,-5951,27695,-79355
F31,0,0,0,0,0,0,0,0,0,0,0,0,-6578,1041,-11698,977,-27560,-10593,15162,-15238,-7029,23481,0,55808,-3473,27390,-10154,93675,45964,-21229,92329,39023,-127021,11074,-105970,0,88904,20987,29617,-37636
F32,0,0,0,0,0,0,0,0,0,0,0,0,34432,0,61136,8870,134764,52266,-69912,81356,36267,-108060,0,-268588,-4388,-150696,-22988,-470958,-235580,111500,-455330,-195634,613928,-56372,524300,0,-422128,19178,-111878,223088
F33,0,0,0,0,0,0,0,0,0,0,0,0,4492,-1041,7970,590,18022,7380,-9975,11066,5364,-14544,0,-36661,1600,-18732,-1319,-65217,-30623,12131,-61592,-27892,84854,-7943,68183,0,-61996,1616,-11513,23336
F34,0,0,0,0,0,0,0,0,0,0,0,0,-5256,-1041,-9015,-3183,-22194,-8955,12783,-14676,-5874,20517,0,46074,7089,20343,21060,75003,43872,-22830,86103,33396,-109518,8430,-100518,0,76581,-46233,31995,-54282
F35,0,0,0,0,0,0,0,0,0,0,0,0,-2516,1041,-4744,-184,-9488,-2478,4293,-3991,-2121,7260,0,17831,-2828,11862,-2387,34440,11911,-4429,26146,12125,-43126,3991,-31141,0,29702,8678,5122,-10870
F36,0,0,0,0,0,0,0,0,0,0,0,1041,-29912,2082,-54136,-4675,-118682,-44256,65268,-69193,-31740,98622,0,243638,-680,140064,10372,422022,205834,-105430,398230,173105,-549328,47332,-487252,0,354992,-8182,82942,-198547
F37,0,0,0,0,0,0,0,0,0,0,0,0,2368,-1041,4220,-133,10522,3312,-4959,5777,2976,-8670,0,-20395,3274,-10062,4696,-37068,-15803,7169,-32936,-15637,47570,-5777,41495,0,-33466,-13495,-7760,14762
F38,0,0,0,0,0,0,0,0,0,0,0,0,4934,0,8719,763,19520,6915,-11109,11950,5610,-17817,0,-40736,-1195,-19803,-3052,-69129,-33658,18100,-69055,-30008,97804,-9868,81208,0,-69521,7069,-15367,37822
F39,0,0,0,0,0,0,0,0,0,0,0,0,-2694,0,-4080,-720,-10242,-3360,6615,-7470,-2823,8856,0,21978,747,8850,2880,36006,16374,-11628,42204,15582,-49401,5388,-43419,0,36204,-5148,9180,-18456
F40,0,0,0,0,0,0,0,0,0,0,0,0,3660,0,6009,693,14100,4275,-6432,7320,3615,-10710,0,-27582,-732,-15675,-2772,-50505,-19950,7080,-42339,-19500,60600,-7320,50340,0,-39687,5007,-8055,19950
