N,beta,log_Z,energy_per_spin,heat_capacity_per_spin,mean_disagreeing_edges,energy_variance
6,0.0,2.772588722239781,-0.2500000000000001,0.0,2.5,7.000000000000002
6,0.0025,2.7751106284275413,-0.25438435006503224,1.0984187499107842e-05,2.491231299869936,7.029879999429019
6,0.005,2.7776764712376902,-0.25878729895612435,4.4121968695716184e-05,2.482425402087751,7.059514991314589
6,0.0075,2.780286435885012,-0.26320869119487855,9.968762050767117e-05,2.473582617610243,7.0888974583232836
6,0.01,2.782940706006005,-0.2676483666020231,0.00017795049688926347,2.464703266795954,7.118019875570539
6,0.0125,2.785639463611857,-0.27210616029378215,0.0002791747935201098,2.4557876794124356,7.1468747141148095
6,0.015,2.7883828890413866,-0.27658190268044686,0.00040361931250352634,2.4468361946391064,7.175454444507135
6,0.0175,2.791171160913989,-0.2810754194671806,0.0005515372273114038,2.4378491610656385,7.203751540393845
6,0.02,2.7940044560825963,-0.2855865316570937,0.0007231758482170068,2.428826936685813,7.231758482170068
6,0.0225,2.796882949586684,-0.29011505555661454,0.0009187763884612636,2.419769888886771,7.25946776068159
6,0.025,2.799806814605339,-0.2946608027831914,0.00113857373140195,2.410678394433617,7.286871880972479
6,0.0275,2.8027762224104182,-0.29922358027534784,0.0013827961988987145,2.4015528394493044,7.313963366075845
6,0.03,2.8057913423198215,-0.30380319030512154,0.001651665321190116,2.392393619389757,7.340734760844961
6,0.0325,2.808852341650896,-0.3083994304929085,0.0019453956085217154,2.383201139014183,7.36717863582188
6,0.035,2.8119593856740055,-0.3130120938247373,0.0022641943247868205,2.3739758123505257,7.393287591140637
6,0.0375,2.8151126375662856,-0.31764096867199115,0.002608261263443657,2.364718062656017,7.419054260461957
6,0.04,2.8183122583656006,-0.3222858388136003,0.002977788525974555,2.3554283223727994,7.444471314936387
6,0.0425,2.821558406924747,-0.32694648346071703,0.0033729603031541493,2.3461070330785656,7.469531467192578
6,0.045,2.824851239865903,-0.33162267728389283,0.003793952659394671,2.336754645432215,7.494227475347499
6,0.0475,2.8281909115353745,-0.33631419044276545,0.004240933320437011,2.3273716191144693,7.518552147035144
6,0.05,2.831577573958641,-0.3410207886182715,0.004714061464656454,2.317958422763457,7.542498343450325
6,0.0525,2.835011376795742,-0.34574223304738727,0.005213487518251837,2.3085155339052252,7.5660589834040275
6,0.055,2.83849246729702,-0.35047828056040925,0.005739352954586193,2.2990434388791816,7.589227047386702
6,0.0575,2.8420209902592553,-0.3552286836207746,0.006291790097945932,2.289542632758451,7.6119955816359095
6,0.06,2.845597087982199,-0.3599931903674243,0.006870921931984093,2.2800136192651514,7.6343577022045475
6,0.0625,2.8492209002255593,-0.3647715446597084,0.007476861913111268,2.270456910680583,7.656306599025938
6,0.065,2.852892564166434,-0.36956348612483003,0.00810971378909537,2.2608730277503404,7.677835539971947
6,0.0675,2.856612214357241,-0.3743687502078223,0.008769571423128586,2.2512624995843553,7.698937874900268
6,0.07,2.8603799826841545,-0.3791870682240506,0.009456518623616579,2.241625863551899,7.719607039687003
6,0.0725,2.864195998326082,-0.38401816741422945,0.01017062897994114,2.2319636651715413,7.739836560240582
6,0.075,2.8680603877142037,-0.38886177100194136,0.010911965704443388,2.222276457996117,7.759620056493077
6,0.0775,2.8719732744921,-0.39371759825364205,0.011680581480869817,2.212564803492716,7.778951246364914
6,0.08,2.875934779476488,-0.39858536454113397,0.012476518319518421,2.202829270917732,7.797823949699013
6,0.0825,2.8799450206186004,-0.40346478140648895,0.013299807419316497,2.193070437187022,7.816232092160291
6,0.085,2.88400411296622,-0.4083555566293951,0.014150469037055698,2.18328888674121,7.834169709096578
6,0.08750000000000001,2.8881121686264057,-0.4132573942969044,0.015028512364003372,2.1734852114061916,7.851630949356862
6,0.09,2.892269296728923,-0.41816999487555206,0.015933935410102348,2.1636600102488956,7.868610079062889
6,0.0925,2.8964756033904075,-0.4230930552858175,0.016866724895963962,2.1538138894283647,7.885101485330122
6,0.095,2.9007311916792915,-0.42802626897889406,0.017826856152851196,2.1439474620422123,7.901099679934047
6,0.0975,2.9050361615814992,-0.43296932601573207,0.01881429303084081,2.1340613479685357,7.916599302917894
6,0.1,2.909390609966951,-0.43792191314831774,0.019828987815344635,2.1241561737033647,7.931595126137853
6,0.10250000000000001,2.9137946305568887,-0.4428837139031462,0.020870881152161035,2.114232572193708,7.946082056741856
6,0.105,2.918248313892049,-0.44785440866684856,0.02193990198121849,2.1042911826663024,7.960055140578138
6,0.1075,2.922751747301699,-0.45283367477392555,0.023035967479163283,2.094332650452149,7.973509565529747
6,0.11,2.927305014873565,-0.45782118659654014,0.024158983010933006,2.0843576268069195,7.9864406647712425
6,0.1125,2.9319081974246624,-0.4628166156363227,0.02530884209044772,2.074366768727355,7.99884391994397
6,0.115,2.9365613724730624,-0.46781963061813203,0.026485426350539156,2.0643607387637357,8.010714964246247
6,0.11750000000000001,2.9412646142105983,-0.47282989758572164,0.027688605522227846,2.0543402048285566,8.022049585434956
6,0.12,2.9460179934765396,-0.47784707999925247,0.02891823742344626,2.0443058400014955,8.032843728735072
6,0.1225,2.9508215777322544,-0.4828708388345956,0.030174167957294898,2.0342583223308086,8.043093499653784
6,0.125,2.9556754310368665,-0.48790083268436185,0.031456231119905954,2.024198334631276,8.052795166695924
6,0.1275,2.960579614023938,-0.4929367178605978,0.0327642490179774,2.014126564278804,8.061945163977523
6,0.13,2.965534183879183,-0.49797814849908184,0.03409803189602795,2.004043703001836,8.070540093734424
6,0.1325,2.9705391943192296,-0.5030247766651557,0.0354573781734109,1.993950446669689,8.078576728723023
6,0.135,2.9755946955714574,-0.5080762524610202,0.036842074491112244,1.9838474950779599,8.086052014510232
6,0.1375,2.980700734354903,-0.5131322241344288,0.038251895768345694,1.9737355517311421,8.092963071649997
6,0.14,2.985857353862264,-0.5181923381887049,0.03968660526894428,1.9636153236225904,8.09930719774373
6,0.14250000000000002,2.9910645937430154,-0.523256239494008,0.04114595467753552,1.953487521011984,8.105081869382188
6,0.145,2.9963224900876355,-0.5283235713997788,0.04262968418547383,1.9433528572004424,8.110284743966485
6,0.1475,3.001631075412964,-0.5333939758482824,0.04413752258649107,1.9332120483034352,8.114913661406
6,0.15,3.006990378648706,-0.538467093489174,0.0456691873820127,1.923065813021652,8.118966645691147
6,0.1525,3.0124004251250818,-0.5435425637950078,0.04722438489607462,1.9129148724099845,8.122441906339091
6,0.155,3.017861236561634,-0.5486200251776093,0.04880281039976198,1.9027599496447811,8.125337839710632
6,0.1575,3.023372831057209,-0.5536991151052315,0.05040414824507895,1.892601769789537,8.127653030196656
6,0.16,3.028935223081109,-0.5587794702204086,0.05202807200814546,1.882441059559183,8.129386251272727
6,0.1625,3.0345484234654254,-0.5638607264584292,0.053674244641603745,1.8722785470831418,8.130536466420448
6,0.165,3.040212439398563,-0.5689425191663434,0.05534231863610591,1.8621149616673132,8.13110282991455
6,0.1675,3.0459272744199515,-0.5740244832224195,0.057031936190740165,1.851951033555161,8.13108468747465
6,0.17,3.051692928415961,-0.5791062531559648,0.0587427293922424,1.8417874936880707,8.130481576780953
6,0.17250000000000001,3.0575093976170096,-0.5841874632674263,0.060474320402826416,1.8316250734651476,8.12929322785316
6,0.17500000000000002,3.0633766745958746,-0.5892677477486861,0.06222632165645603,1.8214645045026279,8.127519563292214
6,0.1775,3.0692947482672137,-0.5943467408034645,0.06399833606336904,1.8113065183930712,8.125160698384484
6,0.18,3.0752636038882812,-0.5994240767677448,0.06578995722265335,1.8011518464645104,8.122216941068315
6,0.1825,3.0812832230608542,-0.6044993902301341,0.06760076964266377,1.7910012195397313,8.118688791762962
6,0.185,3.0873535837343606,-0.6095723161520755,0.0694303489690577,1.7808553676958487,8.114576943060067
6,0.1875,3.093474660210207,-0.6146424899878234,0.07127826222021781,1.7707150200243524,8.109882279278116
6,0.19,3.099646423147304,-0.6197095478040976,0.07314406802982042,1.7605809043918048,8.10460587588038
6,0.1925,3.1058688395687906,-0.6247731263993312,0.0750273168962975,1.7504537472013375,8.098748998757026
6,0.195,3.112141872869943,-0.6298328634224296,0.07692755143893314,1.7403342731551406,8.092313103372321
6,0.1975,3.11846548282727,-0.6348883974909512,0.07884430666032516,1.7302232050180981,8.085299833777935
6,0.2,3.124839625608792,-0.6399393683086316,0.08077711021493501,1.7201212633827365,8.0777110214935
6,0.2025,3.1312642537854822,-0.6449854167821691,0.08272548268344208,1.7100291664356622,8.069548684255894
6,0.20500000000000002,3.1377393163438807,-0.6500261851371826,0.08468893785260975,1.6999476297256346,8.060815024638643
6,0.20750000000000002,3.1442647586998578,-0.6550613170332724,0.08666698300036574,1.6898773659334547,8.051512428543194
6,0.21,3.1508405227135245,-0.6600904576780944,0.08865911918579131,1.6798190846438108,8.041643463563839
6,0.2125,3.1574665467052805,-0.6651132539403748,0.09066484154370984,1.66977349211925,8.031210877228277
6,0.215,3.1641427654729863,-0.670129354461787,0.09268363958355848,1.6597412910764262,8.020217595115932
6,0.2175,3.1708691103102433,-0.6751384097676143,0.09471499749222348,1.6497231804647712,8.00866671885626
6,0.22,3.1776455090257807,-0.6801400723761258,0.09675839444051464,1.639719855247748,7.996561524009474
6,0.2225,3.1844718859639265,-0.6851339969065897,0.09881330489295088,1.6297320061868206,7.983905457832163
6,0.225,3.1913481620261512,-0.6901198401858563,0.10087919892052667,1.6197603196282877,7.970702136930502
6,0.2275,3.1982742546936698,-0.6950972613534395,0.10295554251612539,1.609805477293121,7.956955344803797
6,0.23,3.205250078051087,-0.7000659219650307,0.10504179791224487,1.5998681560699386,7.942669029281276
6,0.2325,3.212275542811072,-0.7050254860943743,0.10713742390069822,1.589949027811251,7.92784729985511
6,0.23500000000000001,3.2193505563400384,-0.70997562043345,0.10924187615395248,1.5800487591330996,7.912494424912809
6,0.23750000000000002,3.2264750226848227,-0.7149159943908903,0.11135460754776769,1.57016801121822,7.896614828872168
6,0.24,3.233648842600334,-0.7198462801885799,0.11347506848479819,1.5603074396228405,7.880213089222097
6,0.2425,3.2408719135781614,-0.7247661529563771,0.11560270721882043,1.5504676940872457,7.863293933472748
6,0.245,3.2481441298761204,-0.729675290824901,0.11773697017925079,1.540649418350198,7.845862236018379
6,0.2475,3.2554653825487154,-0.734573375016332,0.11987730229562088,1.5308532499673362,7.827923014916577
6,0.25,3.262835559478502,-0.7394600899331731,0.12202314732167843,1.5210798201336537,7.80948142858742
6,0.2525,3.2702545454083234,-0.744335123244926,0.1241739481587859,1.5113297535101478,7.790542772436327
6,0.255,3.2777222219744058,-0.749198165972632,0.12632914717829177,1.501603668054736,7.771112475404338
6,0.2575,3.2852384677402884,-0.7540489125712362,0.12848818654255317,1.491902174857528,7.751196096449622
6,0.26,3.292803158231564,-0.7588870610097308,0.13065050852429363,1.4822258779805382,7.7307993209641195
6,0.2625,3.3004161659714115,-0.7637123128490415,0.1328155558239834,1.472575374301917,7.709927957129196
6,0.265,3.3080773605168936,-0.7685243733176164,0.13498277188493632,1.4629512533647675,7.688587932214244
6,0.2675,3.315786608496002,-0.7733229513846852,0.1371516012058212,1.4533540972306294,7.666785288822218
6,0.27,3.323543773645421,-0.7781077598311578,0.13932148965029403,1.443784480337684,7.644526181086091
6,0.2725,3.3313487168489884,-0.7828785153181285,0.14149188475346106,1.4342429693637428,7.621816870820223
6,0.275,3.3392012961768307,-0.7876349384529638,0.14366223602489273,1.4247301230940723,7.598663723630689
6,0.2775,3.3471013669251457,-0.7923767538529483,0.14583199524791232,1.415246492294104,7.575073204988546
6,0.28,3.355048781656609,-0.7971036902064621,0.14800061677489426,1.4057926195870762,7.551051876270114
6,0.28250000000000003,3.363043390241382,-0.801815480331679,0.1501675578183115,1.3963690393366424,7.526606390768215
6,0.28500000000000003,3.3710850398986913,-0.806511861232759,0.1523322787372826,1.386976277534482,7.501743489678428
6,0.28750000000000003,3.3791735752389593,-0.81119257415353,0.15449424331937545,1.37761485169294,7.476469998064292
6,0.29,3.3873088383064602,-0.8158573646286374,0.15665291905743436,1.3682852707427258,7.45079282080544
6,0.2925,3.395490668622473,-0.8205059825321609,0.15880777742120653,1.3589880349356778,7.424718938532558
6,0.295,3.403718903228905,-0.8251381821236866,0.1609582941235518,1.3497236357526272,7.398255403553086
6,0.2975,3.411993376732372,-0.8297537220918276,0.16310394938103046,1.3404925558163452,7.37140933577145
6,0.3,3.4203139213486913,-0.8343523655951998,0.16524422816867324,1.3312952688096,7.3441879186077
6,0.3025,3.4286803669477783,-0.8389338803008433,0.16737862046874635,1.3221322393983137,7.316598394918221
6,0.305,3.4370925410989117,-0.8434980384200943,0.16950662151333565,1.313003923159811,7.288648062922253
6,0.3075,3.4455502691163433,-0.8480446167419203,0.17162773202058354,1.3039107665161596,7.2603442721378455
6,0.31,3.454053374105235,-0.8525733966637119,0.17374145842442176,1.2948532066725762,7.23169441933077
6,0.3125,3.4626016770078802,-0.8570841642195525,0.1758473130976554,1.2858316715608948,7.202705944479965
6,0.315,3.471194996650207,-0.8615767101059703,0.17794481456826083,1.2768465797880593,7.173386326762845
6,0.3175,3.479833149788519,-0.8660508297051887,0.18003348772877312,1.2678983405896227,7.143743080563879
6,0.32,3.488515951156457,-0.8705063231058906,0.18211286403864815,1.258987353788219,7.113783751509693
6,0.3225,3.49724321351216,-0.874942995121513,0.1841824817194936,1.250114009756974,7.083515912533857
6,0.325,3.5060147476855894,-0.8793606553060924,0.18624188594307614,1.2412786893878152,7.05294715997448
6,0.3275,3.5148303626260087,-0.883759117967683,0.1882906290120191,1.2324817640646342,7.0220851097076045
6,0.33,3.5236898654495796,-0.8881382021793689,0.19032827053311815,1.2237235956412622,6.9909373933193075
6,0.3325,3.532593061487055,-0.8924977317878978,0.19235437758321106,1.2150045364242041,6.959511654319354
6,0.335,3.541539754331551,-0.8968375354199618,0.19436852486754708,1.206324929160076,6.927815544399093
6,0.3375,3.550529745886369,-0.9011574464861531,0.19637029487061428,1.197685107027694,6.895856719736248
6,0.34,3.559562836412843,-0.9054573031826256,0.19835927799938924,1.1890853936347492,6.863642837349107
6,0.3425,3.568638824578195,-0.9097369484904957,0.20033507271898626,1.1805261030190088,6.831181551502541
6,0.34500000000000003,3.577757507503371,-0.9139962301730118,0.2022972856806922,1.1720075396539766,6.798480510168188
6,0.34750000000000003,3.5869186808108418,-0.9182350007705283,0.20424553184237948,1.1635299984589433,6.765547351540958
6,0.35000000000000003,3.596122138672337,-0.9224531175933238,0.20617943458130542,1.1550937648133521,6.732389700614053
6,0.3525,3.605367673856501,-0.9266504427122938,0.20809862579930688,1.1466991145754128,6.699015165814417
6,0.355,3.6146550777764443,-0.9308268429475618,0.2100027460204161,1.1383463141048764,6.66543133570057
6,0.3575,3.6239841405371687,-0.9349821898550476,0.21189144448092567,1.1300356202899053,6.631645775724605
6,0.36,3.633354650982851,-0.9391163597110284,0.21376437921194358,1.1217672805779433,6.597666025059987
6,0.3625,3.642766396743961,-0.9432292334947437,0.21562121711448418,1.1135415330105127,6.5634995934967835
