q,orbit,dim,order,largest_prime,bits,log2_q,security_ratio,embedding_degree
457,3,6,7684155677606688,10635389,23.342369466490602,8.83605035505807,0.4402866387983819,10635388
461,1,1,452,113,6.820178962415188,8.848622940429339,0.7707616211392403,0
461,2,4,49103983719,779428313,29.537841097948412,8.848622940429339,0.8345321440636283,389714156
461,3,6,10400550076989696,121351,16.888826471587553,8.848622940429339,0.31810649305333416,8090
463,1,1,473,43,5.426264754702098,8.854868383260236,0.6128001591712224,0
463,2,4,45547202288,406671449,28.599288466810684,8.854868383260236,0.8074453291953063,50833931
463,3,6,9251618417216640,1036916561,29.949652661469454,8.854868383260236,0.5637134919303833,1036916560
467,1,1,491,491,8.939579214314692,8.867278739709661,1.0081536260139488,245
467,2,4,46666061568,2893481,21.464374740027896,8.867278739709661,0.6051567614511094,2893480
467,3,6,8566891242024960,1209083,20.20548185409175,8.867278739709661,0.37977607424637644,604541
479,1,1,444,37,5.20945336562895,8.90388184573618,0.5850766503739727,0
479,2,4,54301823744,644731,19.298337827352935,8.90388184573618,0.5418518058108096,322365
479,3,6,11198656927211520,43427,15.406304672322502,8.90388184573618,0.2883817968245717,21713
487,1,1,463,463,8.854868383260236,8.927777962082342,0.9918334014206263,0
487,2,4,52157492016,2126447,21.02001346670965,8.927777962082342,0.5886126860453101,1063223
487,3,6,14922888157489536,67610119,26.010735850639083,8.927777962082342,0.48557688824533035,11268353
491,1,1,480,5,2.321928094887362,8.939579214314692,0.25973572572289816,0
491,2,4,53294341744,56453,15.784762629637541,8.939579214314692,0.4414291280165025,56452
491,3,6,15334411830190080,16443769,23.971037674569782,8.939579214314692,0.44690838908438485,2740628
499,1,1,472,59,5.882643049361842,8.96289600533726,0.6563328466445245,0
499,2,4,65800713552,56453,15.784762629637541,8.96289600533726,0.4402807591496646,56452
499,3,6,13888883866945536,83724463897,36.28493018199593,8.96289600533726,0.6747248166290011,27908154632
