N,spins_per_layer,beta,kappa,log_Z,overlap_per_site,overlap_response_to_kappa_per_site,intralayer_interaction_energy_per_spin,evaluation
35,16,0.2,0.0,23.5036054077415,-3.0178393794877235e-18,1.131043346535847,-0.3523612389427395,Numerical finite sums from exact integer counts.
35,16,0.2,0.0025,23.503661959826296,0.0028276001131196495,1.13103344269729,-0.3523636133078843,Numerical finite sums from exact integer counts.
35,16,0.2,0.005,23.503831615090302,0.005655150707683079,1.1310037319455097,-0.3523707362606018,Numerical finite sums from exact integer counts.
35,16,0.2,0.0075,23.504114370562462,0.008482602268953452,1.1309542165720448,-0.3523826073727604,Numerical finite sums from exact integer counts.
35,16,0.2,0.01,23.504510221291273,0.01130990528983155,1.130884900395681,-0.3523992259308718,Numerical finite sums from exact integer counts.
35,16,0.2,0.0125,23.50501916034516,0.014137010274674731,1.1307957887617854,-0.35242059093618755,Numerical finite sums from exact integer counts.
35,16,0.2,0.015,23.505641178813022,0.016963867743109522,1.1306868885413741,-0.35244670110483317,Numerical finite sums from exact integer counts.
35,16,0.2,0.0175,23.506376265804896,0.019790428233846837,1.1305582081299141,-0.3524775548679828,Numerical finite sums from exact integer counts.
35,16,0.2,0.02,23.507224408452835,0.022616642308489605,1.130409757445856,-0.35251315037206976,Numerical finite sums from exact integer counts.
35,16,0.2,0.0225,23.50818559191186,0.025442460555339913,1.1302415479289085,-0.35255348547903775,Numerical finite sums from exact integer counts.
35,16,0.2,0.025,23.509259799361125,0.028267833593197175,1.1300535925380417,-0.35259855776662885,Numerical finite sums from exact integer counts.
35,16,0.2,0.0275,23.51044701200522,0.031092712075156136,1.12984590574923,-0.3526483645287106,Numerical finite sums from exact integer counts.
35,16,0.2,0.03,23.51174720907559,0.03391704669239503,1.1296185035529298,-0.3527029027756408,Numerical finite sums from exact integer counts.
35,16,0.2,0.0325,23.513160367832167,0.03674078817795797,1.129371403451298,-0.3527621692346713,Numerical finite sums from exact integer counts.
35,16,0.2,0.035,23.5146864635651,0.039563887310531135,1.1291046244551435,-0.3528261603503876,Numerical finite sums from exact integer counts.
35,16,0.2,0.0375,23.516325469596655,0.042386294918209944,1.128818187080623,-0.35289487228518945,Numerical finite sums from exact integer counts.
35,16,0.2,0.04,23.518077357283282,0.045207961882258646,1.1285121133456752,-0.3529683009198069,Numerical finite sums from exact integer counts.
35,16,0.2,0.0425,23.519942096017804,0.0480288391408598,1.1281864267661952,-0.3530464418538545,Numerical finite sums from exact integer counts.
35,16,0.2,0.045,23.52191965323177,0.0508488776928527,1.1278411523519545,-0.3531292904064234,Numerical finite sums from exact integer counts.
