# q-expansions of the AL-adapted basis e_1..e_13, q^0..q^140.
# Integral. Same labels as X0_143_AL_adapted_basis.txt.
#
n,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13
90,0,546,348,122,190,186,796,4,48,72,-12,388,4
91,144,-106,68,48,-78,42,88,-34,-12,96,54,-66,18
92,-1008,-30,150,302,-626,-204,-506,-2,34,-26,-54,138,-2
93,216,-8,28,8,-148,84,508,-7,-48,68,-96,172,-7
94,0,-20,124,132,-276,-384,-292,-16,-28,-156,36,-164,-16
95,-144,128,180,220,304,388,436,0,4,308,240,32,0
96,0,-52,-112,-212,528,-256,412,-8,-16,16,-180,-148,-8
97,-936,82,-180,-66,-182,90,-212,-7,44,80,444,368,-7
98,0,-411,332,133,-101,-347,-370,6,-28,102,-36,-158,6
99,144,13,130,51,83,-23,46,-2,4,-108,-84,-36,-2
100,576,-31,-74,-99,251,-29,784,-8,82,264,174,700,-8
101,1296,218,-76,-146,-98,126,-112,2,-36,80,-72,-316,2
102,0,296,-4,-260,232,-240,704,-4,48,-68,192,-60,-4
103,576,-386,208,-28,98,-498,-92,-16,-16,-172,-258,14,-16
104,0,141,-34,-105,119,-45,132,0,-18,40,12,-102,0
105,-144,-308,-260,148,-404,460,1056,2,-72,300,132,376,2
106,0,-306,368,214,-146,-116,-370,12,-46,-36,-144,-98,12
107,576,276,80,20,236,360,324,18,4,-48,-288,20,18
108,-720,78,-56,-276,258,-208,242,10,30,-156,-174,-56,10
109,288,-178,-212,6,46,190,276,10,12,448,360,-308,10
110,0,-42,-44,-2,18,-2,-220,-2,-16,-24,36,-92,-2
111,792,-400,-160,236,-36,324,-20,-3,-48,424,240,-40,-3
112,-576,106,-58,358,38,186,-504,8,68,234,186,-328,8
113,72,-270,-128,26,-490,238,-104,9,-36,-236,-144,400,9
114,0,-96,-286,-146,-332,-520,-268,0,-24,390,96,-350,0
115,-504,308,136,236,280,-92,360,-1,-44,-80,-60,80,-1
116,288,134,-220,-502,586,-166,776,0,4,-168,-72,-316,0
117,144,-13,-130,-51,-83,23,-46,-34,-4,108,84,36,18
118,0,-92,-176,164,-12,256,-148,-10,12,-224,-240,396,-10
119,576,208,-164,100,-136,272,232,4,-40,-148,-552,-236,4
120,0,-316,-448,-384,-372,392,-332,0,-20,144,12,112,0
121,72,-27,-2,-7,-49,-15,-26,1,8,-8,18,-10,1
122,0,-30,256,166,78,-190,92,-24,32,-52,156,-40,-24
123,-720,78,304,452,190,230,372,8,-36,308,30,-254,8
124,432,68,-36,-52,204,172,-168,14,64,116,-36,592,14
125,648,340,-8,-216,304,-272,-756,-9,-48,-408,-312,-64,-9
126,0,536,78,66,560,118,-178,-8,-34,194,168,-356,-8
127,-576,-168,-72,8,-40,-300,-220,8,-4,128,-240,-244,8
128,0,-201,-122,-365,245,-211,-272,0,18,68,162,-340,0
129,288,256,144,-32,184,108,-188,6,4,-88,360,580,6
130,0,42,44,2,-18,2,220,-34,16,24,-36,92,18
131,1296,376,172,192,272,64,-32,-18,-32,52,132,376,-18
132,-144,52,-50,-146,36,-152,80,-2,8,-18,-36,-122,-2
133,-288,462,-60,-112,142,-94,-80,0,0,-544,-126,710,0
134,0,-240,112,212,-256,92,-44,14,36,136,516,-456,14
135,-360,676,628,232,584,88,652,5,-64,84,60,416,5
136,0,-214,-176,-502,358,-2,408,0,-76,-68,-336,-216,0
137,-1224,-194,256,26,-194,-278,-456,-7,-8,-140,-264,172,-7
138,0,-196,-390,-450,292,374,178,-2,-2,-134,-60,152,-2
139,1296,208,-460,-224,32,328,192,10,-56,-132,-108,344,10
140,-288,64,48,-64,24,44,-732,-4,-124,-80,0,68,-4
