word,repetitions,operator_norm,log_norm_per_repetition
elliptic_zero,1,1.0870015359279102,0.08342302113523156
parabolic_minus_one,1,3.095819376033297,1.1300526129510575
parabolic_alternation,1,2.945288763246081,1.080206864332784
hyperbolic_word,1,5.558472147440985,1.7153232768740823
elliptic_zero,2,1.0000000000000162,8.104628079763576e-15
parabolic_minus_one,2,5.7204186111889825,0.8720209932441012
parabolic_alternation,2,5.396821222058103,0.8429050588292765
hyperbolic_word,2,21.560647178737653,1.53543488157848
elliptic_zero,4,1.0000000000000324,8.104628079763512e-15
parabolic_minus_one,4,11.18065267644535,0.6035462112384202
parabolic_alternation,4,10.518127875598577,0.5882750582199409
hyperbolic_word,4,301.2030493638398,1.426946154981106
elliptic_zero,8,1.0000000000000648,8.10462807976338e-15
parabolic_minus_one,8,22.22741440745158,0.38766580128195216
parabolic_alternation,8,20.893968546207958,0.37993256637698564
hyperbolic_word,8,58432.74750991904,1.371953969586304
elliptic_zero,16,1.0000000000001295,8.090750291955304e-15
parabolic_minus_one,16,44.387378764957255,0.237059697936097
parabolic_alternation,16,41.716187198743626,0.23318057723159977
hyperbolic_word,16,2199058019.144622,1.3444559332813948
elliptic_zero,24,1.0000000000001943,8.095376221224313e-15
parabolic_minus_one,24,66.56229827711951,0.1749224302216944
parabolic_alternation,24,62.554309642079076,0.17233479723722603
hyperbolic_word,24,82759349434070.48,1.3352899211625429
elliptic_zero,32,1.0000000000002591,8.097689185858686e-15
parabolic_minus_one,32,88.7409684288212,0.14017880184359072
parabolic_alternation,32,83.39642230015849,0.13823766907390367
hyperbolic_word,32,3.1145653544032973e+18,1.3307069151031168
